Date, Time,Minimum_Air_Temp,Current_Air_Temp,Maximum_Air_Temp,Precipitation,Relative_Humidity_Minimum,Relative_Humidity_Maximum,Barometric_Pressure_Minimum,Barometric_Pressure_Maximum
1987-07-28,09:39:00,23,30.5,34,1,60,100,-99.9,-99.9
1987-07-29,09:44:00,24.5,27.5,34.5,0,73,99,-99.9,-99.9
1987-07-30,09:40:00,22.5,29,29.5,0,83,100,-99.9,-99.9
1987-07-31,09:39:00,23,29,30,0,84,100,-99.9,-99.9
1987-08-01,09:48:00,24.5,30,30.5,0,75,100,-99.9,-99.9
1987-08-02,09:32:00,24.5,29.5,31.5,0,81,100,-99.9,-99.9
1987-08-03,09:30:00,25.5,30.8,31,0,73,100,-99.9,-99.9
1987-08-04,09:35:00,26.5,31.5,33.5,0,69,99,-99.9,-99.9
1987-08-05,09:32:00,26,31,34.5,1,69,99,-99.9,-99.9
1987-08-06,09:40:00,26.5,31,34.5,0,64,100,-99.9,-99.9
1987-08-07,-999,23,30,36,12,82,100,-99.9,-99.9
1987-08-08,09:27:00,24,27.5,31.5,16,79,99,-99.9,-99.9
1987-08-09,09:16:00,23.5,29,31.5,0,84,99,-99.9,-99.9
1987-08-10,09:36:00,25.8,31,31.3,0,80,98,-99.9,-99.9
1987-08-11,09:42:00,23.5,26,32.5,16.6,85,96,-99.9,-99.9
1987-08-12,09:34:00,22.5,26,29.5,16.4,75,95,-99.9,-99.9
1987-08-13,09:53:00,23,27,29.5,0,70,95,-99.9,-99.9
1987-08-14,09:39:00,20.5,24.5,28.5,0,74,96,-99.9,-99.9
1987-08-15,10:10:00,22.5,25.5,-99.9,0,80,96,-99.9,-99.9
1987-08-16,09:30:00,22,28.5,29.5,0,72,96,-99.9,-99.9
1987-08-17,09:24:00,23.5,29.4,30,2,71,95,-99.9,-99.9
1987-08-18,09:34:00,24.5,30.3,31.7,0.4,55,95,-99.9,-99.9
1987-08-19,09:32:00,26.5,31.5,35.5,0,62,95,-99.9,-99.9
1987-08-20,09:40:00,23,26.5,35,16.6,79,95,-99.9,-99.9
1987-08-21,09:15:00,21.5,28.5,29.5,0,69,95,-99.9,-99.9
1987-08-22,09:26:00,21.5,27.5,30.5,0,65,95,-99.9,-99.9
1987-08-23,09:53:00,24,30.5,31,0,56,96,-99.9,-99.9
1987-08-24,09:27:00,22.8,26.5,35.8,17.8,87,96,-99.9,-99.9
1987-08-25,09:31:00,21.5,26.5,36,12.6,-99.9,-99.9,-99.9,-99.9
1987-08-26,09:36:00,22,28.5,29,0,-99.9,-99.9,-99.9,-99.9
1987-08-27,09:37:00,23.5,30.5,32.5,0,-99.9,-99.9,-99.9,-99.9
1987-08-28,09:30:00,26,30.5,32.5,0,-99.9,-99.9,-99.9,-99.9
1987-08-29,09:40:00,26,31,35,0,-99.9,-99.9,-99.9,-99.9
1987-08-30,09:40:00,21,26.5,33.5,36.2,-99.9,-99.9,-99.9,-99.9
1987-08-31,09:35:00,23.3,28.5,29,3.3,85,100,-99.9,-99.9
1987-09-01,09:36:00,22,25.5,29.5,9.6,76,98,-99.9,-99.9
1987-09-02,09:57:00,22.5,27,28.5,0,79,98,-99.9,-99.9
1987-09-03,09:54:00,22,23.5,27.5,16.4,78,99,-99.9,-99.9
1987-09-04,09:53:00,21.5,22,27,53,89,100,-99.9,-99.9
1987-09-05,09:28:00,21.5,25,26,63.8,94,100,-99.9,-99.9
1987-09-06,09:58:00,23.5,28.5,29,8.5,84,100,-99.9,-99.9
1987-09-07,09:38:00,24,28.5,29.5,5.6,85,98,-99.9,-99.9
1987-09-08,09:10:00,23.5,26.5,28.5,3.4,64,96,-99.9,-99.9
1987-09-09,09:41:00,24.5,29,32.5,0,75,97,-99.9,-99.9
1987-09-10,09:35:00,22,28,31,10,82,98,-99.9,-99.9
1987-09-11,09:51:00,21.5,29,30,2.4,83,98,-99.9,-99.9
1987-09-12,09:25:00,23.5,25.5,30.5,15,78,99,-99.9,-99.9
1987-09-13,09:58:00,22,26,29,7.9,82,97,-99.9,-99.9
1987-09-14,09:33:00,22,28.5,29,0,73,97,-99.9,-99.9
1987-09-15,09:37:00,21.5,26.5,30.5,9,90,100,-99.9,-99.9
1987-09-16,09:42:00,22,29,29.5,0,83,100,-99.9,-99.9
1987-09-17,09:47:00,22.5,28.5,29.5,7.6,83,100,-99.9,-99.9
1987-09-18,09:51:00,22.5,29.5,30,7.4,67,100,-99.9,-99.9
1987-09-19,-999,-99.9,-99.9,-99.9,-99.9,74,100,-99.9,-99.9
1987-09-20,09:58:00,-99.9,-99.9,-99.9,1,74,100,-99.9,-99.9
1987-09-21,09:39:00,21.4,27.2,30.7,0,82,100,-99.9,-99.9
1987-09-22,09:39:00,19.5,25,28,0,62,100,-99.9,-99.9
1987-09-23,09:47:00,17,22,27.5,0,54,100,-99.9,-99.9
1987-09-24,09:39:00,13.5,23.5,26,0,52,100,-99.9,-99.9
1987-09-25,09:54:00,14.5,24.5,26.5,0,55,100,-99.9,-99.9
1987-09-26,09:29:00,15,24.5,28,0,66,100,-99.9,-99.9
1987-09-27,09:56:00,18,26.5,-99.9,0,77,100,-99.9,-99.9
1987-09-28,09:41:00,20,25,27,24,75,100,-99.9,-99.9
